"Submission ID","Respondent ID","Submitted at","¿Cuál describe mejor tu relación actual con la Inteligencia Artificial en tu día a día fiscal?","Si pudieras hacer desaparecer un solo problema de tu despacho hoy mismo con un botón, ¿cuál sería?","¿Cuál es tu mayor duda o freno al momento de pensar en implementar Inteligencia Artificial con los datos de tus clientes?","Si diseñáramos un taller práctico de 2 horas para ti, ¿sobre qué te urge que sea?"
"0VkjGJj","b5XKR2e","2026-08-28 18:38:27","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Creación de prompts prácticos para procesos básicos de conciliación de información."
"Z9eRWb5","WOXDbkk","2026-08-28 18:40:12","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","En los cambios repentinos del SAT Como enfrentarlos sin perder tanto riempo"
"4aONEl5","D49AO9N","2026-08-28 18:40:18","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","..."
"zEdQg9k","A7NARRz","2026-08-28 18:40:38","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Descarga, conciliacion, aplicaicon de la informaicon fiscal para clientes"
"lazl52p","vGVE8O0","2026-08-28 18:44:37","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","."
"xVzNBDr","68GA695","2026-08-28 18:46:15","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Inteligencia artificial"
"Yj9zAJN","lbXKQVX","2026-08-28 19:22:38","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","NIF"
"5XVq7bN","J9bX7PY","2026-08-28 19:25:14","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Por el momento ninguno"
"KpGBbA7","eq8K1Lx","2026-08-28 19:41:32","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","El manejo de la IA con excel"
"zEdQpR8","Xxd8xBd","2026-08-28 19:55:12","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","si es sobre IA algo que se hable en lenguaje normal, no de programadores, que sea realemnte práctico y gratutito!! com aquelque nos reglaste a prueba por WA pero gratuito, tal vez condicionarnos a algo para obtenerlo gratuito, ese me apreció genial!!"
"7XEJ10z","A7N4q4z","2026-08-28 21:42:41","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","..."
"jez0z5a","0QzZo7P","2026-08-28 22:02:45","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El temor de que la IA o un contador más joven y tecnológico me termine bajando a mis clientes actuales.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Crear herramientas que nos eficienticen."
"5XVl5JN","68GWpxB","2026-08-28 22:25:44","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","No puedo presentar una propuesta, porque no se ni siquiera que es la inteligencia artificial, escucho mucho de ella y yo no se ni que es. "
"pez4X5J","68GkxOo","2026-08-29 03:40:00","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Como utilizar la IA en aspectos contables y fiscales"
"RWjkxjp","BzqeVD1","2026-08-29 16:23:25","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Como la IA puede optimizar mis procesos contables y fiscales en el menor tiempo posible y con mayor precisión "
"4aOOxEo","68GVMDe","2026-08-29 20:29:46","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Sobre herramientas eficientes que solucionen problemas reales"
"X5QQeaV","A7NQ9eW","2026-08-29 20:43:27","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Programación de conciliaciones de IVA para solicitar la devolución."
"q5zppZk","PdLyjJd","2026-08-30 13:01:48","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Automatización de mis procesos y papeles de trabajo."
"gbzx6B1","q4X7E9d","2026-08-31 00:24:58","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Cómo mantener actualizadas las bases de datos por empresa y tenerlas visibles a un click"
"q5zljLk","vGV82OQ","2026-08-31 16:57:44","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El temor de que la IA o un contador más joven y tecnológico me termine bajando a mis clientes actuales.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","CALCULOS DE IMPUESTOS"
"PRr7VMx","QKpQoZl","2026-09-01 00:42:57","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","A GENERAR PROMPTERS ESPECIFICOS PARA QUE LA IA NO DESVARIE PORQUE LE HACES UNA PREGUNTA Y SE TARDA MUVHO Y AL FINAL TERMINA CON LA SUGERENCIA INICIAL UFFF NI TODO EL TIEMPO QUE INVERTI "
"PRP0KQB","obZepAV","2026-09-03 06:03:09","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","DE TODO"
"BE9LQM5","GxVlOEe","2026-09-03 16:37:20","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Qué IAs son las más adecuadas en la contaduría."
"BE9Lj0N","RGQPAdQ","2026-09-03 16:51:12","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Prompts o creación de herramientas sencillas para disminuir el tiempo en tareas operativas y repetitivas."
"LDoEAXz","Xx7WWad","2026-09-03 18:03:38","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Implementación práctica y real de IA dentro del campo contable, fiscal y en general todos los campos que tienen que ver con nuestra profesión como contadores y abogados. "
"Ge7kBke","A7N4q4z","2026-09-04 15:48:01","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","."
"VpxqWdj","ODZLMG8","2026-09-04 16:41:49","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","IA PARA PRINCIPIANTES, PASO A PASO."
